-275,721.253,-17.9023
0.967213,-0.246282,-0.0620006
0.243451,0.968633,-0.0498142
0.0723242,0.0330868,0.996832
0,0.942234,3.87113,-2.01206
1,16.576,49.8995,-1.05047
2,21.1752,47.5404,-1.66019
3,1.84106,6.6415,-2.01966
4,3.53958,9.50205,-2.11984
5,5.59321,15.8966,-0.0373089
6,23.5184,46.4929,-0.7554
7,4.23825,12.5723,-2.13737
8,6.29684,15.4531,-2.20866
9,4.70345,15.9064,0.0453585
10,6.5129,15.8868,-0.140067
11,5.42794,15.5034,-1.83613
12,7.32838,15.5944,-1.68202
13,5.56438,15.8373,0.342885
14,7.46379,15.8577,0.147118
15,5.51968,15.7445,-1.22683
16,6.38912,15.6245,-1.42924
17,4.67466,15.817,0.435605
19,4.66006,15.7743,-1.09428
20,24.1802,47.7588,-3.28965
23,19.3612,49.8979,-2.64888
24,21.7408,48.7683,-2.95407
27,16.9517,50.9674,-2.3335
28,23.9343,47.3009,-2.00809
31,18.8457,48.6299,-1.35508
32,0.962234,3.87114,-2.01212
33,16.7461,49.8296,-1.05086
34,21.3352,47.4504,-1.66051
35,1.86107,6.63151,-2.01971
36,3.57958,9.49206,-2.11994
37,5.67319,15.9366,-0.0376209
38,23.6784,46.413,-0.755741
39,4.28825,12.5623,-2.1375
40,6.37684,15.4531,-2.2089
41,4.77344,15.9264,0.045112
42,6.5829,15.8868,-0.140278
43,5.49794,15.5034,-1.83634
44,7.39835,15.5944,-1.69223
45,5.62439,15.8173,0.342739
46,7.51381,15.8077,0.147055
47,5.58971,15.7445,-1.21704
48,6.45906,15.6245,-1.44945
49,4.73467,15.7971,0.43546
50,6.55411,15.8275,0.249916
51,4.71004,15.7443,-1.10438
52,24.3402,47.6688,-3.28997
55,19.5313,49.8279,-2.63927
56,21.9108,48.6884,-2.95444
59,17.1118,50.8575,-2.32379
60,24.1043,47.221,-1.99846
63,19.0157,48.55,-1.35545
64,0.962272,3.85116,-2.00209
65,16.9061,49.7296,-1.05117
66,21.4753,47.3605,-1.66077
67,1.88107,6.62152,-2.01975
68,3.61958,9.48208,-2.12004
69,5.7232,15.9166,-0.0377365
70,23.8484,46.3431,-0.756131
71,4.33822,12.5623,-2.14765
72,6.43684,15.4531,-2.20908
73,4.83344,15.9264,0.0449309
74,6.66288,15.9369,-0.140608
75,5.54791,15.5034,-1.84649
76,7.45838,15.5945,-1.68241
77,5.69438,15.8273,0.34251
78,7.59379,15.8378,0.146761
79,5.65967,15.7545,-1.22727
80,6.50906,15.6245,-1.4496
81,4.80468,15.8371,0.445178
82,6.63409,15.8575,0.249622
83,4.78004,15.7644,-1.10463
84,24.5003,47.5889,-3.29031
87,19.6813,49.728,-2.63955
88,22.0709,48.6085,-2.95478
91,17.2818,50.7975,-2.32419
92,24.2443,47.121,-2.00871
95,19.1757,48.4701,-1.35579
96,0.972242,3.85114,-2.01212
97,17.0661,49.6597,-1.05153
98,21.6253,47.2605,-1.66105
99,1.91104,6.62151,-2.02984
100,3.64959,9.46209,-2.1201
101,5.7932,15.9167,-0.0379477
102,24.0085,46.2732,-0.74649
103,4.37823,12.5424,-2.14774
104,6.50681,15.4631,-2.21931
105,4.88345,15.9064,0.0448153
106,6.73289,15.9269,-0.140801
107,5.60791,15.5034,-1.84667
108,7.51835,15.5745,-1.69256
109,5.73439,15.8073,0.342425
110,7.65379,15.8478,0.146562
111,5.71967,15.7545,-1.22745
112,6.58906,15.6345,-1.44986
113,4.86468,15.8371,0.444997
114,6.69409,15.8676,0.249423
115,4.83004,15.7544,-1.10476
116,24.6703,47.509,-3.29068
119,19.8514,49.6381,-2.6299
120,22.2309,48.5185,-2.9551
123,17.4519,50.7176,-2.32457
124,24.4244,47.0311,-2.00909
127,19.3358,48.4001,-1.35615
128,0.992276,3.84117,-2.00216
129,17.2362,49.5698,-1.05188
130,21.8053,47.1906,-1.66147
131,1.92104,6.61152,-2.02985
132,3.6896,9.45211,-2.1202
133,5.86319,15.9267,-0.0381766
134,24.1785,46.1932,-0.756862
135,4.41824,12.5124,-2.1478
136,6.57677,15.4731,-2.22954
137,4.95348,15.9065,0.0546041
138,6.80288,15.9369,-0.14103
139,5.67794,15.5035,-1.83688
140,7.59834,15.5945,-1.69283
141,5.8244,15.8474,0.352083
142,7.73383,15.8278,0.156356
143,5.77968,15.7446,-1.22761
144,6.65906,15.6346,-1.45007
145,4.93467,15.8572,0.44475
146,6.77408,15.8776,0.249164
147,4.89004,15.7444,-1.10493
148,24.8403,47.429,-3.29106
151,20.0214,49.5481,-2.64025
152,22.391,48.4386,-2.94545
155,17.6119,50.6177,-2.32487
156,24.5944,46.9612,-2.00948
159,19.5058,48.3102,-1.35651
160,1.01228,3.83118,-2.0022
161,17.4062,49.4999,-1.04227
162,21.9654,47.1007,-1.66179
163,1.96105,6.60153,-2.02996
164,3.7196,9.43212,-2.12026
165,5.9232,15.9067,-0.0383223
166,24.3385,46.1133,-0.757204
167,4.46825,12.4924,-2.14792
168,6.64677,15.4832,-2.22977
169,5.01345,15.9065,0.0444231
170,6.85289,15.9069,-0.141128
171,5.74788,15.5035,-1.85709
172,7.67831,15.5945,-1.70308
173,5.89441,15.8374,0.351889
174,7.81381,15.8679,0.156044
175,5.83965,15.7446,-1.23779
176,6.71903,15.6246,-1.46023
177,4.9747,15.7972,0.444735
178,6.8241,15.8376,0.249084
179,4.96,15.7644,-1.11517
180,25.0104,47.3491,-3.29143
183,20.1814,49.4482,-2.64056
184,22.571,48.3587,-2.95585
187,17.7819,50.5178,-2.32521
188,24.7544,46.8713,-2.0098
191,19.6658,48.2403,-1.35687
192,1.02228,3.83118,-2.00223
193,17.5662,49.3899,-1.05256
194,22.1454,47.0408,-1.66223
195,1.97105,6.60154,-2.02999
196,3.74961,9.41213,-2.12031
197,5.99319,15.9168,-0.0385512
198,24.5086,46.0334,-0.757576
199,4.50826,12.4724,-2.148
200,6.70677,15.4632,-2.22992
201,5.08344,15.9165,0.0441942
202,6.93289,15.917,-0.141387
203,5.81787,15.5135,-1.85732
204,7.73831,15.5946,-1.70326
205,5.94441,15.8174,0.351774
206,7.87382,15.8379,0.155916
207,5.91964,15.7546,-1.23805
208,6.78903,15.6346,-1.46046
209,5.04469,15.8172,0.444489
