-190.551,743.34,-13.5036
0.976991,-0.209147,-0.0417964
0.209304,0.97785,-0.000639897
0.0410044,-0.00812297,0.999126
0,-0.438647,3.73846,-1.76296
1,-0.486617,15.6783,-0.262224
2,1.0638,15.7389,-0.44859
3,-0.439655,6.18845,-1.72279
4,0.329567,9.95876,-1.99072
5,0.272745,15.6886,0.00955556
6,1.85314,15.7592,-0.16674
7,0.0584733,12.6387,-1.95117
8,1.03746,15.479,-1.96867
9,-0.47747,15.7683,0.0878051
10,1.08289,15.8489,-0.0785367
11,0.276706,15.4887,-1.65045
12,1.82624,15.6093,-1.46682
13,0.291922,15.6986,0.359602
14,1.85232,15.7392,0.183258
15,0.285349,15.5487,-1.08043
16,1.0558,15.579,-1.27862
17,-0.488279,15.6783,0.447774
18,1.07211,15.7489,0.271432
19,-0.236974,24.9085,-1.58099
20,1.85488,15.7893,-0.916736
22,1.08118,15.8489,0.651461
23,0.29445,15.6987,-0.720395
24,1.07467,15.729,-0.818566
27,-0.485747,15.6684,-0.632223
28,1.84402,15.7792,-0.546761
31,0.29358,15.7086,-0.350395
32,-0.418634,3.76846,-1.77291
33,-0.436613,15.6684,-0.262107
34,1.1338,15.749,-0.448426
35,-0.419639,6.20846,-1.73274
36,0.369567,9.95877,-1.99063
37,0.342737,15.7086,0.00972084
38,1.91313,15.7692,-0.166599
39,0.108493,12.6487,-1.96105
40,1.08746,15.479,-1.96856
41,-0.427474,15.7783,0.0879228
42,1.1429,15.8289,-0.0783976
43,0.326706,15.4887,-1.65034
44,1.88624,15.6093,-1.46668
45,0.341922,15.6986,0.359719
46,1.91232,15.7592,0.183399
47,0.335338,15.5787,-1.08031
48,1.09578,15.589,-1.26853
49,-0.438276,15.6683,0.447891
50,1.12212,15.7389,0.271548
51,-0.146998,24.9086,-1.57078
52,1.91488,15.7793,-0.916596
54,1.13118,15.8489,0.651578
55,0.344477,15.6887,-0.730279
56,1.11466,15.749,-0.818471
59,-0.425751,15.6784,-0.632082
60,1.91403,15.7493,-0.546599
63,0.343576,15.7187,-0.350277
64,-0.408634,3.76847,-1.77289
65,-0.376614,15.6684,-0.261967
66,1.1738,15.739,-0.448333
67,-0.389643,6.21847,-1.73267
68,0.409567,9.95879,-1.99054
69,0.392734,15.7186,0.00983859
70,1.96314,15.7592,-0.166482
71,0.148496,12.6387,-1.96096
72,1.14746,15.4791,-1.96842
73,-0.367478,15.7884,0.088064
74,1.1829,15.8389,-0.0783033
75,0.386709,15.4788,-1.6502
76,1.94623,15.6193,-1.46654
77,0.401918,15.7086,0.35986
78,1.95232,15.7592,0.183493
79,0.395338,15.5787,-1.08017
80,1.15578,15.589,-1.26839
81,-0.378279,15.6783,0.448032
82,1.1721,15.7689,0.271667
83,-0.0569906,24.8886,-1.57057
84,1.96489,15.7593,-0.91648
86,1.20118,15.8589,0.651743
87,0.394443,15.7187,-0.720159
88,1.17467,15.739,-0.818332
91,-0.375751,15.6784,-0.631965
92,1.97402,15.7793,-0.546457
95,0.403573,15.7287,-0.350136
96,-0.398638,3.77847,-1.77286
97,-0.316621,15.6884,-0.261825
99,-0.369623,6.22848,-1.74262
100,0.44957,9.9488,-1.99044
101,0.452733,15.7187,0.00997906
102,2.02314,15.7593,-0.166342
103,0.198496,12.6387,-1.96084
104,1.19746,15.4791,-1.9683
105,-0.317482,15.7984,0.0881817
107,0.436709,15.4788,-1.65008
108,1.99623,15.6193,-1.46642
109,0.441925,15.6886,0.359953
110,2.02232,15.7592,0.183657
111,0.445337,15.5787,-1.08005
112,1.21577,15.609,-1.26825
113,-0.318283,15.6883,0.448173
115,0.0330129,24.8786,-1.57036
116,2.02489,15.7693,-0.916339
118,1.24118,15.8589,0.651837
119,0.454446,15.7087,-0.72002
123,-0.315751,15.6784,-0.631825
124,2.02403,15.7593,-0.546341
127,0.45358,15.7087,-0.350021
128,-0.378635,3.76848,-1.77282
129,-0.26661,15.6584,-0.26171
130,1.2838,15.749,-0.448074
131,-0.349608,6.24849,-1.75257
132,0.47957,9.94882,-1.99037
133,0.512733,15.7187,0.0101195
134,2.08314,15.7593,-0.166202
135,0.238492,12.6487,-1.96075
136,1.25745,15.4891,-1.96816
137,-0.257482,15.7984,0.0883222
138,1.28293,15.759,-0.0780747
139,0.496729,15.4888,-1.65994
140,2.05623,15.6094,-1.46628
141,0.511921,15.6987,0.360117
142,2.08232,15.7593,0.183797
143,0.495334,15.5888,-1.07993
144,1.26577,15.5991,-1.26813
145,-0.268284,15.6884,0.44829
147,0.113016,24.8687,-1.57017
148,2.08488,15.7793,-0.916198
151,0.514453,15.6887,-0.719881
155,-0.265755,15.6884,-0.631707
156,2.09401,15.8093,-0.546174
159,0.513576,15.7187,-0.349879
160,-0.368635,3.76848,-1.77279
161,-0.206621,15.6884,-0.261567
163,-0.32962,6.2185,-1.74253
164,0.519594,9.94883,-2.00028
165,0.562737,15.7087,0.0102359
166,2.13314,15.7593,-0.166084
167,0.2785,12.6287,-1.96065
168,1.30745,15.4991,-1.96804
169,-0.207486,15.8084,0.08844
170,1.33292,15.779,-0.0779563
171,0.546725,15.4988,-1.65982
172,2.11623,15.6094,-1.46614
173,0.561921,15.6987,0.360234
174,2.14231,15.7793,0.183939
175,0.555333,15.5888,-1.07979
176,1.32579,15.6091,-1.27799
177,-0.20828,15.6784,0.44843
179,0.203027,24.8387,-1.56996
180,12.9118,71.4436,-4.18692
183,0.56445,15.6988,-0.719763
184,1.34466,15.7591,-0.817932
187,-0.205752,15.6785,-0.631567
188,2.14401,15.7993,-0.546057
191,0.56358,15.7087,-0.349763
192,-0.338635,3.76849,-1.77272
193,-0.166622,15.6885,-0.261474
194,1.40379,15.7591,-0.447793
195,-0.309636,6.1985,-1.73248
196,0.549593,9.94884,-2.00021
197,0.622737,15.7087,0.0103764
