-179.074,746.225,-13.1314
0.977922,-0.205051,-0.040285
0.205471,0.978641,0.0065276
0.0380861,-0.0146609,0.999167
0,-1.1853,3.70805,-1.73456
1,-4.458,20.2474,-0.342712
2,-2.55855,21.7978,-0.624127
3,-1.66583,6.14795,-1.72429
4,-1.64683,9.82794,-1.96442
5,-3.42772,20.1276,0.00654979
6,-1.32686,15.7181,-0.174828
7,-2.43733,12.2578,-1.90392
8,-2.06806,15.3678,-1.94428
9,-4.45767,20.2274,0.107288
10,-2.5782,21.8678,-0.114115
11,-2.84788,15.4577,-1.66373
12,-1.32775,15.588,-1.44482
13,-3.42739,20.1276,0.46655
14,-1.32661,15.7181,0.175172
15,-2.86748,15.5377,-1.08371
16,-2.08761,15.5579,-1.26428
17,-4.45732,20.2174,0.587288
18,-2.55782,21.7578,0.375874
19,-3.62741,15.5175,-1.00317
20,-1.3274,15.758,-0.914829
21,-3.42687,20.0776,1.17655
22,-2.55744,21.6878,0.875876
23,-3.4284,20.1376,-0.93345
24,-2.56895,21.9278,-1.14412
25,-3.42592,20.0477,2.47655
26,-2.5568,21.6779,1.76588
27,-4.45834,20.2273,-0.822712
28,-1.32713,15.7381,-0.544829
29,-3.06373,17.2178,4.64638
30,-2.52519,21.3979,3.91586
31,-3.42806,20.1276,-0.46345
32,-1.1753,3.71805,-1.73457
33,-4.38799,20.2274,-0.342762
34,-2.03706,15.7179,-0.454317
35,-1.64582,6.09795,-1.71431
36,-1.60682,9.81795,-1.95445
37,-3.35772,20.1176,0.0064997
38,-1.26686,15.7281,-0.174872
39,-2.39734,12.2778,-1.91395
40,-2.01806,15.3579,-1.94432
41,-4.38767,20.2274,0.107238
42,-2.0368,15.7179,-0.0843172
43,-2.78788,15.4677,-1.66377
44,-1.26775,15.588,-1.44487
45,-3.35738,20.0976,0.4665
46,-1.26661,15.7181,0.175128
47,-2.79748,15.5477,-1.08376
48,-2.02761,15.5679,-1.26432
49,-4.37732,20.2174,0.587231
50,-2.03654,15.6879,0.265684
51,-3.56741,15.5075,-1.00321
52,-1.2674,15.7581,-0.914873
53,-3.34687,20.0677,1.16649
54,-2.03628,15.7079,0.635683
55,-3.3584,20.1376,-0.933501
56,-2.03732,15.7179,-0.814317
57,-3.34592,20.0477,2.47649
59,-4.38834,20.2474,-0.822763
60,-1.26714,15.7481,-0.544872
61,-2.99372,17.1978,4.64633
62,-2.46521,21.6179,3.95581
63,-3.35806,20.1176,-0.4635
64,-1.16533,3.77806,-1.76458
65,-4.31799,20.2174,-0.342812
66,-1.99707,15.7279,-0.454346
67,-1.62582,6.09795,-1.71432
68,-1.57682,9.82796,-1.95447
69,-3.28772,20.1076,0.00644961
70,-1.21687,15.7381,-0.174908
71,-2.35735,12.2878,-1.91398
72,-1.96806,15.3779,-1.94436
73,-4.30767,20.2074,0.0971809
74,-1.99682,15.8179,-0.084349
75,-2.73788,15.4577,-1.6638
76,-1.21775,15.5881,-1.4449
77,-3.28738,20.0976,0.46645
78,-1.22661,15.7281,0.175099
79,-2.74748,15.5477,-1.0838
80,-1.97761,15.5679,-1.26436
81,-4.30732,20.1974,0.587181
82,-1.98654,15.6979,0.265647
83,-3.51741,15.5176,-1.00325
84,-1.21739,15.7481,-0.904908
85,-3.27687,20.0577,1.16644
86,-1.9963,15.8179,0.635651
87,-3.28839,20.1176,-0.93355
88,-1.98732,15.7179,-0.814353
89,-3.27592,20.0477,2.47644
91,-4.31835,20.2274,-0.832812
92,-1.21713,15.7381,-0.544908
93,-2.93372,17.1679,4.63629
94,-2.41524,21.868,3.99577
95,-3.28805,20.0976,-0.46355
96,-1.14532,3.74806,-1.75459
97,-4.24799,20.2074,-0.342862
98,-1.92705,15.6979,-0.444396
99,-1.59582,6.09796,-1.71434
100,-1.54682,9.82796,-1.95449
101,-3.21772,20.1077,0.00639921
102,-1.16687,15.7381,-0.174944
103,-2.31735,12.2878,-1.91401
104,-1.90806,15.3779,-1.9444
105,-4.23767,20.2074,0.10713
106,-1.94682,15.8079,-0.0843847
107,-2.67788,15.4677,-1.66385
