-159.508,751.063,-12.5664
0.978078,-0.208143,-0.00637655
0.208241,0.977559,0.0318428
-0.000394427,-0.0324726,0.999473
0,-2.44589,3.51062,-1.82159
1,-9.88461,15.6119,-0.325981
2,-7.99341,15.7109,-0.504163
3,-3.7543,5.64161,-1.78236
4,-5.04964,9.25359,-2.03807
5,-8.94642,15.7201,-0.00990944
6,-7.08529,15.7291,-0.188577
7,-6.73793,11.4549,-2.01091
8,-7.38535,14.4155,-2.01487
9,-9.92697,15.6906,0.0740364
10,-8.01578,15.7796,-0.104057
11,-8.79534,15.4662,-1.86989
12,-7.01716,15.5836,-1.54869
13,-8.89892,15.6387,0.390115
14,-7.06758,15.6779,0.181367
15,-8.84915,15.5541,-1.22991
16,-7.90819,15.5638,-1.38416
17,-9.87962,15.5792,0.493959
18,-7.98822,15.6983,0.285845
19,-9.80959,15.5147,-1.16587
20,-7.09048,15.7418,-0.978585
22,-7.9607,15.6369,0.685815
23,-8.91148,15.6728,-0.829876
24,-7.99097,15.7223,-0.904119
27,-9.87206,15.6134,-0.74591
28,-7.08285,15.7405,-0.588533
29,-10.3979,18.4625,5.56065
30,-10.8077,21.8369,4.36949
31,-8.91398,15.6614,-0.41992
32,-2.43589,3.51061,-1.82153
34,-7.94338,15.7509,-0.503724
35,-3.74422,5.67163,-1.7922
36,-5.01963,9.26356,-2.03785
37,-8.88641,15.73,-0.00951137
38,-7.03528,15.7391,-0.188239
39,-6.69791,11.4749,-2.0106
40,-7.3354,14.4254,-2.00453
41,-9.86697,15.6906,0.0744008
42,-7.9458,15.7596,-0.1037
43,-8.73534,15.4662,-1.86953
44,-6.95715,15.5936,-1.54829
45,-8.83886,15.6387,0.380479
46,-7.00758,15.6878,0.181765
47,-8.77916,15.5541,-1.22948
48,-7.85819,15.5638,-1.38386
50,-7.92823,15.6782,0.286142
51,-9.74967,15.5046,-1.15554
52,-7.03047,15.7617,-0.978153
54,-7.89071,15.6268,0.686207
55,-8.86147,15.6928,-0.829505
56,-7.93097,15.7222,-0.903755
60,-7.02285,15.7404,-0.588169
61,-10.3279,18.4825,5.56114
62,-10.7577,21.9368,4.38013
63,-8.84397,15.6714,-0.419461
64,-2.40603,3.49052,-1.80141
65,-9.74461,15.6218,-0.325097
66,-7.86341,15.7108,-0.503373
67,-3.72421,5.68161,-1.79204
68,-4.97962,9.28353,-2.03754
69,-8.81641,15.74,-0.00905258
70,-6.95531,15.709,-0.187855
71,-6.65791,11.4749,-2.01035
72,-7.2754,14.4254,-2.00417
74,-7.88578,15.7795,-0.103268
75,-8.68534,15.4761,-1.86919
76,-6.89715,15.5935,-1.54792
77,-8.77885,15.6486,0.380877
78,-6.95756,15.7078,0.182136
79,-8.71916,15.554,-1.22912
80,-7.78819,15.5637,-1.38343
81,-9.7496,15.6091,0.494849
82,-7.84824,15.6782,0.286628
83,-9.67966,15.5146,-1.15508
84,-6.97049,15.7417,-0.977856
86,-7.83065,15.6268,0.676571
87,-8.78149,15.6627,-0.829121
88,-7.86097,15.7222,-0.90333
91,-9.75204,15.6432,-0.74508
92,-6.96286,15.7404,-0.587805
93,-10.2578,18.5125,5.55166
94,-10.6977,22.0068,4.39073
95,-8.78397,15.6813,-0.419063
96,-2.39602,3.50051,-1.80132
98,-7.80341,15.7108,-0.503009
99,-3.68431,5.64155,-1.78193
100,-4.94961,9.2935,-2.03733
101,-8.75641,15.7299,-0.00872198
102,-6.8953,15.7289,-0.187423
