-156.489,751.847,-12.5651
0.977183,-0.212236,-0.00829396
0.212398,0.976434,0.0382571
-2.10407e-05,-0.0391458,0.999234
0,-2.5799,3.32138,-1.75504
1,-11.0513,15.5896,-0.276542
2,-9.0518,15.6975,-0.472477
4,-5.46421,8.84494,-1.97053
5,-10.0702,15.7182,0.0406271
6,-8.10086,15.7061,-0.165343
7,-7.21177,10.8469,-1.92314
8,-7.92862,13.5477,-1.90814
9,-11.12,15.6893,0.133772
10,-9.06054,15.7171,-0.0624283
11,-9.82648,15.2899,-1.86057
12,-8.03524,15.5575,-1.5557
13,-9.99913,15.5977,0.450288
14,-8.07971,15.6757,0.224563
15,-9.95427,15.5194,-1.21994
16,-8.97473,15.5484,-1.38287
17,-11.0488,15.5687,0.573433
18,-9.02943,15.6567,0.327416
19,-10.984,15.4904,-1.12685
20,-8.06337,15.6269,-0.965544
22,-9.07805,15.7463,0.747659
23,-10.0428,15.659,-0.799522
24,-9.07304,15.728,-0.892383
27,-11.0627,15.6101,-0.716489
28,-8.10206,15.7165,-0.56533
29,-12.417,19.7345,6.18197
30,-12.8675,23.0264,4.78678
31,-10.0116,15.6285,-0.379646
32,-2.57991,3.34139,-1.76502
33,-10.9813,15.5996,-0.276743
34,-8.9818,15.6974,-0.472689
35,-4.02745,5.46306,-1.75842
36,-5.43421,8.84491,-1.97062
37,-10.0002,15.7181,0.0404153
38,-8.03086,15.706,-0.165555
39,-7.17176,10.8569,-1.92325
40,-7.87859,13.5677,-1.90827
41,-11.03,15.6792,0.13349
42,-9.01051,15.7471,-0.0625482
43,-9.76644,15.3198,-1.86072
44,-7.97522,15.5674,-1.55588
45,-9.92911,15.6176,0.450097
46,-8.00973,15.6656,0.224341
47,-9.88421,15.5193,-1.20015
48,-8.90473,15.5483,-1.38308
49,-10.9588,15.5686,0.57316
50,-8.95942,15.6666,0.327215
51,-10.914,15.4904,-1.12707
52,-7.99337,15.6268,-0.965755
54,-8.99807,15.7362,0.747407
55,-9.96284,15.6589,-0.799764
56,-8.98306,15.7079,-0.892677
59,-10.9827,15.6,-0.716741
60,-8.04205,15.7265,-0.565502
61,-12.357,19.8044,6.18186
62,-12.8173,23.1264,4.80673
63,-9.95159,15.6385,-0.379817
64,-2.57991,3.3714,-1.77499
65,-10.9013,15.5895,-0.276996
66,-8.92178,15.7174,-0.47285
67,-4.00744,5.47303,-1.75847
68,-5.4042,8.85487,-1.9707
70,-7.96086,15.7059,-0.165767
71,-7.13172,10.8868,-1.92334
72,-7.83857,13.5876,-1.90837
73,-10.95,15.6691,0.133237
74,-8.94049,15.757,-0.0627496
75,-9.69645,15.3097,-1.86094
76,-7.91523,15.5673,-1.55606
78,-7.93973,15.6655,0.224129
79,-9.8142,15.5292,-1.20035
80,-8.83474,15.5382,-1.38331
81,-10.8888,15.5886,0.56297
82,-8.88942,15.6665,0.327003
83,-10.834,15.4903,-1.12731
84,-7.93337,15.6268,-0.965937
86,-8.91808,15.7261,0.747154
87,-9.87287,15.6388,-0.800057
88,-8.91304,15.6978,-0.882899
91,-10.9226,15.6299,-0.716891
92,-7.98203,15.7364,-0.565673
93,-12.3168,19.8843,6.21182
94,-12.7572,23.2063,4.80663
96,-2.55989,3.36137,-1.76506
97,-10.8413,15.6094,-0.277156
98,-8.8418,15.6973,-0.473113
99,-3.98742,5.49301,-1.75851
