-387.602,676.656,-24.6928
0.917709,-0.396704,-0.0208947
0.395566,0.917388,-0.0439023
0.0365848,0.0320243,0.998817
0,-0.961112,4.32554,-2.02145
1,-13.6683,154.278,-2.98858
3,-1.26006,7.50548,-2.10751
4,-0.848907,11.1151,-2.23521
5,-6.54056,167.711,-0.323357
7,-1.50763,15.0251,-2.35234
8,-0.74658,17.7849,-2.29871
11,-1.80466,24.1746,-2.64038
15,-1.6351,19.0471,-1.36027
16,-0.745515,18.4065,-1.52996
19,-4.0698,37.1358,-2.45392
20,2.51557,54.6418,-3.29629
23,-3.19021,66.1041,-3.20304
24,-0.734696,19.1675,-1.0315
28,8.62699,148.805,-5.50204
31,-4.5252,106.266,-2.67221
32,-0.941112,4.32553,-2.02148
33,-13.1483,154.248,-2.98909
35,-1.23006,7.50547,-2.10754
36,-0.818907,11.1151,-2.23524
37,-6.00034,168.331,-0.325194
39,-1.45763,15.0151,-2.35237
40,-0.686584,17.7749,-2.29876
41,-13.3037,156.226,0.607117
43,-1.59575,19.6156,-2.14146
44,1.01718,29.9232,-2.84502
47,-1.5751,19.0371,-1.36032
48,-0.675522,18.3865,-1.53
49,-14.1654,167.284,4.55587
51,-4.07929,38.9056,-2.56746
52,2.73571,55.1317,-3.32751
55,-2.9901,66.454,-3.21397
56,-0.654685,19.1974,-1.03165
63,-4.17504,106.766,-2.6836
64,-0.941116,4.31553,-2.02146
65,-12.5883,154.398,-2.99001
67,-1.21006,7.51546,-2.10759
68,-0.768907,11.1151,-2.2353
71,-1.39763,15.035,-2.35248
72,-0.61658,17.7849,-2.29885
73,-12.6541,155.165,0.598533
75,-1.48602,18.5257,-2.02939
76,1.12717,29.9232,-2.85514
79,-1.50512,18.9671,-1.35025
80,-0.615515,18.4064,-1.5301
83,-4.45727,45.9348,-3.03116
84,2.95581,55.4616,-3.34841
87,-1.54429,20.0979,-0.962478
88,-0.584689,19.1874,-1.0317
91,-4.42622,45.527,-1.94038
92,7.14578,113.678,-4.20989
95,-3.79495,107.045,-2.69458
96,-0.911123,4.3255,-2.03151
97,-12.0781,154.838,-3.00145
