976.515,1059.87,-6.10457
0.154185,0.987908,-0.0162681
-0.988035,0.154224,0.00119221
0.00368674,0.0158896,0.999867
0,2.83,3.21,-2.06
1,11.57,15.17,-0.31
2,13.3,14.27,-0.55
3,4.75,5.79,-2.13
4,7.72,8.36,-2.3
5,14.02,16.59,0.01
6,9.19,10.95,-2.22
7,11.83,12.71,-2.21
8,12.96,16.96,0.13
9,16.03,17.14,-0.11
10,11.53,13.68,-1.92
11,14.61,14.19,-1.89
12,18.54,17.96,0.32
13,12.95,15.33,-1.39
14,13.86,14.85,-1.65
15,15.85,16.95,0.41
16,11.62,15.23,-1.21
17,15.34,14.88,-1.23
18,14.03,16.6,1.28
19,13.97,14.97,0.85
20,13.67,16.17,-0.97
21,14.81,15.87,-1.12
22,11.99,14.22,2.31
23,14.1,16.67,5.9
24,12.86,13.81,3.48
25,14,16.56,-0.48
26,2.83,3.19,-2.06
27,11.62,15.11,-0.31
28,16.17,17.17,-0.67
29,4.77,5.77,-2.13
30,7.74,8.33,-2.29
31,14.07,16.52,0.01
32,15.41,14.84,-0.23
33,9.22,10.92,-2.22
34,11.87,12.66,-2.21
35,14.32,18.58,0.14
36,15.92,16.91,-0.11
37,11.63,13.69,-1.93
38,14.75,14.23,-1.91
39,14.08,16.54,0.51
40,16.94,16.31,0.28
41,13.02,15.31,-1.39
42,13.96,14.85,-1.65
43,15.99,16.98,0.42
44,15.91,15.33,-1.27
45,14.08,16.54,1.28
46,13.95,14.86,0.84
47,13.75,16.15,-0.97
48,14.83,15.78,-1.12
49,12.26,14.44,2.35
50,11.29,14.7,-0.74
51,16.35,15.75,-0.77
52,14.14,16.6,5.89
53,12.83,13.67,3.45
54,14.05,16.5,-0.48
55,2.85,3.18,-2.06
56,11.65,15.05,-0.31
57,16.06,16.94,-0.66
58,4.79,5.75,-2.13
59,7.76,8.29,-2.29
60,14.14,16.48,0.01
61,15.55,14.87,-0.23
62,9.27,10.88,-2.22
63,11.93,12.63,-2.21
64,14.4,18.54,0.14
65,15.94,16.81,-0.11
66,11.7,13.68,-1.93
67,14.92,14.29,-1.92
68,14.15,16.5,0.51
69,18.28,17.46,0.31
70,13.13,15.33,-1.4
71,14.01,14.8,-1.65
72,14.41,18.56,0.69
73,15.98,16.86,0.41
74,11.68,15.09,-1.21
75,12.36,14.44,1.12
76,13.93,14.72,0.84
77,13.83,16.12,-0.97
78,15.03,15.88,-1.13
79,12.34,14.42,2.36
