980.714,1047.96,-6.05054
0.37927,0.925186,-0.0136242
-0.925286,0.379212,-0.0066838
-0.00101731,0.0151412,0.999885
0,-0.35,4.5,-2.12
1,-1.77,61.87,-1.93
2,-0.83,7.97,-2.26
3,-0.51,10.65,-2.15
4,-9.42,124.67,-0.28
5,0.28,22.45,-0.31
6,-1.2,13.01,-2.06
7,-0.63,16.05,-2.07
8,-3.08,115.03,-0.91
9,-1.61,18.69,-2.06
10,-2.3,27.89,-2.01
11,-0.85,24.9,-2.08
12,-15.92,127.48,3.44
13,-4.02,30.7,-2.05
14,-1.4,46.78,1.79
15,-3.4,42.85,-2.09
16,-1.24,40.59,-2.21
17,-1.29,14.29,1.72
18,-0.6,14.58,1.15
19,-6.04,47.12,-2.03
20,-1.21,13.08,3.47
21,-0.58,13.55,2.43
22,-6.13,80,-2.04
23,-0.34,4.49,-2.11
24,-10.45,85.47,-1.69
25,-1.55,61.88,-1.93
26,-0.81,7.97,-2.26
27,-0.47,10.65,-2.15
28,-8.99,124.68,-0.28
29,0.49,27.14,-0.37
30,-1.16,13.01,-2.06
31,-0.58,16.03,-2.07
32,-15.15,124.79,0.44
33,-2.68,115.11,-0.91
34,-1.55,18.7,-2.06
35,0.28,19.59,-1.87
36,1.04,47.22,0.44
37,-2.2,27.89,-2.01
38,-0.77,24.91,-2.08
39,-15.51,127.77,3.45
40,-2.85,123.65,1.87
41,-3.9,30.58,-2.04
42,-1.23,46.84,1.79
43,-3.24,42.79,-2.08
44,-1.1,40.5,-2.21
45,-0.61,17.23,1.35
46,-5.88,47.15,-2.03
47,0.45,25.85,-0.95
48,-1.16,13.09,3.47
49,-0.52,13.05,2.34
50,-5.88,80.42,-2.05
51,-0.32,4.49,-2.11
52,-10.16,85.53,-1.69
53,-1.33,61.84,-1.93
54,-0.78,7.97,-2.26
55,-0.43,10.65,-2.15
56,-8.56,124.79,-0.28
57,-1.11,12.99,-2.06
58,-0.52,16.01,-2.07
59,-14.85,126.06,0.44
60,-1.48,18.67,-2.05
61,0.35,19.47,-1.86
62,1.12,44.48,0.4
63,-2.1,27.88,-2.01
64,-0.68,24.91,-2.08
65,-15.12,128.3,3.45
66,-2.49,127.43,1.93
67,-3.78,30.5,-2.03
68,-1.08,47.79,1.83
69,-3.08,42.7,-2.08
70,-0.95,40.43,-2.21
71,-1.2,14.44,1.73
72,-1.05,45.66,3.61
73,-5.72,47.18,-2.03
74,-1.12,13.07,3.47
75,-0.48,13.46,2.41
76,-5.63,80.89,-2.06
77,-0.31,4.49,-2.11
78,-11.01,95.81,-1.89
79,-1.12,61.85,-1.93
80,-0.75,7.98,-2.26
81,-0.4,10.65,-2.15
82,-8.13,124.9,-0.28
83,-1.07,13,-2.06
84,-14.41,126.09,0.44
85,-1.21,68.84,-0.55
86,-1.42,18.67,-2.05
87,-2,27.86,-2.01
88,-0.59,24.91,-2.08
89,-14.7,128.65,3.46
90,-1.18,66.49,1.01
91,-3.66,30.43,-2.03
92,0.5,21.77,-1.31
93,-0.89,45.74,1.75
94,-2.93,42.63,-2.08
95,-0.81,40.39,-2.2
96,-1.15,14.46,1.74
97,-0.45,14.85,1.17
98,-5.56,47.26,-2.03
99,0.63,25.85,-0.95
100,-1.07,13.11,3.48
101,-5.37,81.29,-2.07
102,-0.29,4.49,-2.11
103,-10.65,95.63,-1.88
104,-0.89,61.3,-1.91
105,-0.72,7.99,-2.26
106,-0.36,10.65,-2.15
107,-7.71,125.2,-0.28
108,-1.02,12.99,-2.05
109,-0.41,16,-2.06
110,-13.97,126.14,0.44
111,-0.97,68.75,-0.54
112,-1.35,18.65,-2.05
113,0.48,19.36,-1.85
114,2.13,62.51,0.58
115,-1.9,27.85,-2.01
116,-0.51,24.89,-2.08
117,-14.27,128.81,3.47
118,-0.95,66.34,1
119,-3.55,30.4,-2.03
120,0.58,21.8,-1.32
121,-0.75,47.79,1.83
122,-2.78,42.59,-2.07
123,-0.67,40.32,-2.2
124,-1.1,14.4,1.73
125,-5.39,47.36,-2.04
126,0.73,25.86,-0.95
127,-1.03,13.11,3.47
128,-0.39,13.37,2.4
129,-5.09,81.37,-2.07
130,-0.28,4.49,-2.11
131,-10.36,95.88,-1.89
132,-0.67,58.29,-1.82
133,-0.7,7.98,-2.26
134,-0.32,10.64,-2.15
135,-7.6,130.64,-0.29
136,-0.98,13,-2.05
137,-0.35,16.01,-2.07
138,-13.54,126.15,0.44
139,-0.68,59.5,-0.47
140,-1.29,18.63,-2.05
141,0.48,17.77,-1.7
142,2.33,62.51,0.58
143,-1.81,27.81,-2
144,-0.42,24.82,-2.07
145,-13.84,128.82,3.47
146,-0.72,66.13,1
147,-3.45,30.43,-2.03
148,0.65,21.79,-1.32
149,-2.63,42.53,-2.07
150,-0.54,40.29,-2.2
151,-1.17,16.55,1.99
152,-0.35,14.33,1.13
153,-5.24,47.42,-2.04
154,0.49,18.02,-0.67
155,-0.98,13.07,3.46
156,-0.35,13.59,2.44
157,-0.26,4.49,-2.11
158,-10.04,96.07,-1.89
159,-0.46,58.26,-1.82
160,-0.67,7.97,-2.26
161,-0.29,10.64,-2.15
162,-7.14,130.6,-0.29
163,1.14,31.12,-0.43
164,-0.93,12.98,-2.05
165,-0.3,16,-2.06
166,-13.09,126.11,0.44
167,-0.47,59.69,-0.47
168,-1.22,18.61,-2.04
169,2.55,62.51,0.58
170,-1.71,27.73,-2
171,-0.34,24.82,-2.07
172,-13.43,129.41,3.48
173,-0.49,65.92,1
