977.742,1055.37,-6.08602
0.249155,0.968363,-0.0139621
-0.968462,0.249153,-0.00188215
0.0016561,0.0139907,0.999901
0,1.68,3.99,-2.06
1,6.85,14.69,-0.46
2,2.87,7.33,-2.22
3,4.58,9.98,-2.21
4,9.14,22.12,0.01
5,8.31,15.7,-0.19
6,4.94,12.24,-2.06
7,6.53,14.02,-1.97
8,7.21,20.27,0.13
9,9.44,20.03,-0.1
10,6.38,15.63,-1.82
11,9.13,22.1,0.56
12,9.71,18.27,0.25
13,7.31,17.81,-1.34
14,7.1,15.19,-1.36
15,8.78,24.57,0.77
16,9.42,20,0.39
17,6.28,17.75,-1.2
18,7.83,14.8,-0.97
19,9.68,23.39,1.49
20,9.45,20.07,0.91
21,7.82,19.01,-0.94
22,6.31,15.44,2.06
23,8.04,17.15,1.55
24,6.61,14.2,2.87
25,6.57,16.07,-0.39
26,1.7,3.98,-2.06
27,7.4,15.66,-0.49
28,2.89,7.32,-2.22
29,4.62,9.97,-2.21
30,8.33,15.6,-0.19
31,4.99,12.23,-2.06
32,6.53,13.91,-1.96
33,7.21,20.05,0.13
34,9.47,19.92,-0.1
35,6.43,15.59,-1.81
36,7.89,14.79,-1.56
37,9.16,21.95,0.56
38,9.74,18.16,0.25
39,7.36,17.76,-1.34
40,7.14,15.14,-1.36
41,8.82,24.4,0.76
42,9.47,19.92,0.39
43,6.34,17.72,-1.2
44,7.6,14.27,-0.93
45,7.28,15.42,0.7
46,6.59,15.95,-0.79
47,9.78,20.58,1.88
48,7.84,14.71,-0.57
49,6.71,14.28,2.9
50,6.59,15.96,-0.39
51,1.71,3.97,-2.06
52,6.94,19.14,-0.33
53,7.34,15.42,-0.49
54,2.92,7.32,-2.22
55,4.65,9.95,-2.21
56,9.2,21.82,0.01
57,8.39,15.57,-0.19
58,5.03,12.21,-2.06
59,6.56,13.83,-1.95
60,7.22,19.86,0.13
61,9.48,19.76,-0.1
62,6.48,15.54,-1.81
63,9.19,21.8,0.56
64,7.32,17.48,-1.32
65,8.85,24.23,0.76
66,9.48,19.77,0.39
67,7.29,13.58,-0.89
68,9.18,21.79,1.39
69,7.44,15.62,0.71
70,6.61,15.84,-0.79
71,6.91,16.55,2.21
72,9.88,20.59,1.88
73,6.6,15.84,-0.39
74,1.73,3.97,-2.06
75,6.97,19,-0.33
76,7.45,15.49,-0.49
77,2.95,7.31,-2.22
78,4.68,9.93,-2.21
79,8.46,15.58,-0.19
80,5.08,12.21,-2.06
81,6.57,13.74,-1.94
82,7.26,19.78,0.13
83,9.5,19.62,-0.1
84,6.5,15.45,-1.8
85,7.97,14.71,-1.56
86,9.22,21.66,0.56
87,9.81,17.99,0.25
88,7.4,17.5,-1.32
89,9.49,19.62,0.39
90,7.01,19.11,-1.29
91,9.21,21.64,1.38
92,7.31,15.21,0.69
93,6.89,14.38,-0.83
94,6.97,16.52,2.21
95,9.97,20.6,1.88
96,7.84,21.3,-0.9
97,5.5,13.14,3.85
98,7.12,14.84,3.02
99,1.74,3.95,-2.06
100,2.96,7.27,-2.22
101,4.72,9.92,-2.21
102,9.25,21.54,0.01
103,8.55,15.6,-0.19
104,5.13,12.2,-2.06
105,6.59,13.65,-1.93
106,7.35,19.79,0.13
107,9.52,19.5,-0.1
